vehicle_id,age_years,annual_mileage,usage_type,region,incident_rate_theoretical,n_incidents,total_repair_cost
1,1,15882,delivery,suburban,0.301764,0,0.0
2,11,6863,sales,suburban,0.43372599999999994,0,0.0
3,9,39502,sales,urban,0.49900399999999995,0,0.0
4,6,42565,delivery,urban,0.49513,1,539.8285504298512
5,6,47493,delivery,urban,0.5049859999999999,0,0.0
6,12,57277,taxi,urban,0.664554,0,0.0
7,1,32354,sales,urban,0.324708,1,635.6924589214535
8,10,50603,sales,rural,0.48120599999999997,0,0.0
9,3,44396,sales,urban,0.388792,0,0.0
10,1,20245,taxi,urban,0.37049,0,0.0
11,7,51481,delivery,suburban,0.49296200000000007,2,1801.7806514649676
12,14,7932,taxi,suburban,0.5658640000000001,1,781.3829474150057
13,11,37938,delivery,urban,0.585876,1,0.0
14,11,56719,sales,urban,0.573438,0,0.0
15,10,41242,delivery,rural,0.512484,2,1129.652240011456
16,11,56538,delivery,urban,0.623076,2,1977.8980504694664
17,7,8088,taxi,suburban,0.426176,0,0.0
18,1,34282,taxi,suburban,0.35856399999999994,0,0.0
19,12,47933,sales,urban,0.575866,1,591.6467771149152
20,6,40327,taxi,suburban,0.470654,1,1267.9282637462547
21,7,53429,service,urban,0.46685800000000005,0,0.0
22,5,30443,sales,urban,0.400886,0,0.0
23,2,42543,service,urban,0.34508600000000006,1,385.53196981390306
24,13,28087,sales,rural,0.49617400000000006,1,516.9668205836846
25,11,52966,sales,urban,0.565932,0,0.0
26,9,11569,sales,urban,0.443138,1,887.3968619590084
27,6,18976,taxi,rural,0.40795200000000004,1,611.4844159379893
28,12,10321,delivery,urban,0.550642,0,0.0
29,8,43615,taxi,rural,0.49723,0,0.0
30,6,17800,delivery,suburban,0.4056,1,578.676933631697
31,6,22442,delivery,suburban,0.414884,0,0.0
32,3,51015,service,suburban,0.34203,0,0.0
33,1,24810,delivery,suburban,0.31961999999999996,2,589.6083184338485
34,8,13020,taxi,urban,0.49604,0,0.0
35,13,6153,sales,rural,0.45230600000000004,0,0.0
